"","V1","V2","V3","V4","V5","V6"
"126","And we have shown that our economy doesn't have to be a zero-sum game.","We need a system that serves our needs, not the needs of others.","They are going to be running it in a very professional manner.","And by the way, and by the way, we're going to make great trade deals.","The work site, the welfare office, the education system, and everything else.","And by the way, and by the way, we're going to make great trade deals."
"127","Last year, incomes rose for all races, all age groups, for men and for women.","But I don't want to do that.","It could be 3 million.","It could be 3 million.","Not you.","Not you."
"128","So if we're going to be serious about race going forward, we need to uphold laws against discrimination: in hiring and in housing and in education and in the criminal justice system.","We also have to be honest about the fact that not everyone who seeks to join our country will be able to successfully assimilate.","We also have to be honest about the fact that not everyone who seeks to join our country will be able to successfully assimilate.","Cases where they go in and they have a minor, early-stage form of cancer and they can't see a doctor.","An attack on law enforcement is an attack on all Americans.","But my greatest compassion will be for our own struggling citizens."
"129","That is what our Constitution and our highest ideals require.","America is one of the highest-taxed nations in the world.","Watch how good we're going to do together.","Watch how good we're going to do together.","I am so glad to be back in Arizona.","These 13,000 release occurred on Hillary Clinton's watch."
"130","But laws alone won't be enough.","No, not you.","Go ahead.","OK.","Go ahead.","Go ahead."
"131","Hearts must change.","I've been hearing it.","I've been hearing it.","Our government has no idea.","Our government has no idea.","I've been hearing it."
"132","It won't change overnight.","I've been hearing it.","I've been hearing it.","Our government has no idea.","Our government has no idea.","I've been hearing it."
"133","Social attitudes oftentimes take generations to change.","I've been hearing it.","I've been hearing it.","But my greatest compassion will be for our own struggling citizens.","Our government has no idea.","Our government has no idea."
"134","But if our democracy is to work, the way it should, in this increasingly diverse Nation, then each one of us need to try to heed the advice of a great character in American fiction, Atticus Finch, who said, You never really understand a person until you consider things from his point of view |","We can make new friends, rebuild old alliances, and bring new allies into the fold.","We have 2nd generation B-52 bombers – their fathers flew the same plane.","In 2009, pre-Hillary, ISIS was not even on the map.","Our Army has been shrinking rapidly, from 553,000 soldiers in 2009 to just 479,000 today.","We can make new friends, rebuild old alliances, and bring new allies into the fold."
"135","until you climb into his skin and walk around in it.","They're waiting in line for 15, 16, 17 days.","That's why we weren't hacked.","It's all fake news.","Incredible things have happened.","I read the information outside of that meeting."
"136","For Blacks and other minority groups, that means tying our own very real struggles for justice to the challenges that a lot of people in this country face, not only the refugee or the immigrant or the rural poor or the transgender American, but also the middle-aged White guy who, from the outside, may seem like he's got advantages, but has seen his world upended by economic and cultural and technological change.","This has been an incredible evening.","Now, all of these papers that you see here — yes, go ahead.","I am going to bring our jobs back to Ohio and Pennsylvania and New York and Michigan and all of America – and I am not going to let companies move to other countries, firing their employees along the way, without consequences.","We have other companies.","I saw the information."
"137","We have to pay attention and listen.","I respect the people of Mexico.","I think it's pretty sad.","You'll be proud of our country again.","I think it's pretty sad.","People are so happy."
"138","For White Americans, it means acknowledging that the effects of slavery and Jim Crow didn't suddenly vanish in the sixties, that when minority groups voice discontent, they're not just engaging in reverse racism or practicing political correctness.","America is far less safe – and the world is far less stable – than when Obama made the decision to put Hillary Clinton in charge of America's foreign policy.","I am certain it is a decision President Obama truly regrets.","America is a nation of believers, dreamers, and strivers that is being led by a group of censors, critics, and cynics.","They want a president to run the country.","They want a president to run the country."
"139","When they wage peaceful protest, they're not demanding special treatment, but the equal treatment that our Founders promised.","I’m going to ask all the Angel Moms to come join me on the stage right now.","So, I said let's go and have some fun tonight.","We'll build safe zones which is something that I think all of us want to see.","And they're great people and great leaders but they're going to pay for the wall.","So, I said let's go and have some fun tonight."
"140","For native-born Americans, it means reminding ourselves that the stereotypes about immigrants today were said, almost word for word, about the Irish and Italians and Poles, who it was said were going to destroy the fundamental character of America.","We, assembled here today, are issuing a new decree to be heard in every city, in every foreign capital, and in every hall of power.","And now we are looking only to the future.","And, yes, together, we will make America great again.","It's waiting to see if we will rise to the occasion, and if we will show the whole world that America is still free and independent and strong.","They'd drop them across, right across, and they'd come back."
"141","And as it turned out, America wasn't weakened by the presence of these newcomers;","Yeah, go ahead.","I saw the information.","They'd drop them across, right across, and they'd come back.","OK, go ahead.","They were never in the same room together as a group."
"142","these newcomers embraced this Nation's creed, and this Nation was strengthened.","It does not serve you the American people.","It does not serve you the American people.","Let me tell you who it does not serve.","Let me tell you who it does not serve.","She doesn't have the strength or the stamina to make America great again."
"143","So regardless of the station that we occupy, we all have to try harder.","I have many people from Mexico working for me.","We could sit back and let them hang with it.","I am your voice!","They get mocked by these people.","We're going to take care of our workers."
"144","We all have to start with the premise that each of our fellow citizens loves this country just as much as we do;","It is time to show the whole world that America Is Back – bigger, and better and stronger than ever before.","I think you care.","I wonder sometimes what he'd say if he were here to see this and to see me tonight.","You know that story.","I am your voice!"
"145","that they value hard work and family just like we do;","And Hillary Clinton is going to do nothing for the African- American worker, the Latino worker.","I think you care.","You know that story.","She's going to do nothing.","It is a two-way street, right?"
"146","that their children are just as curious and hopeful and worthy of love as our own.","Americans want great schools for their children, safe neighborhoods for their families, and good jobs for themselves.","Washington flourished, but the people did not share in its wealth.","We're in many, many countries and I'm very proud of it.","Like, we did a good job with Carrier and I want to thank you, United Technologies, which owns Carrier.","Well, if I could save jobs."
"147","And that's not easy to do.","This has been an incredible evening.","She's going to do nothing.","We have other companies.","So there's a great spirit going on right now, a spirit that many people have told me they've never seen before, ever.","We're going to Arizona, OK?"
"148","For too many of us, it's become safer to retreat into our own bubbles, whether in our neighborhoods or on college campuses or places of worship or especially our social media feeds, surrounded by people who look like us and share the same political outlook and never challenge our assumptions.","But I think it's just something we're going to have to live with.","America is a nation of believers, dreamers, and strivers that is being led by a group of censors, critics, and cynics.","They can't do anything about these people, and they want to.","So we need people that are smart, we need people that are successful and they got successful because, generally speaking, they're smart.","The guy looked at her like, what is she doing?"
"149","And the rise of naked partisanship and increasing economic and regional stratification, the splintering of our media into a channel for every taste—all this makes this great sorting seem natural, even inevitable.","Thank you.","These are amazing people.","We are going to put in Mr.","And that's what I put.","Thank you."
"150","And increasingly, we become so secure in our bubbles that we start accepting only information, whether it's true or not, that fits our opinions, instead of basing our opinions on the evidence that is out there.","Syria was under control.","But that’s not all.","But that’s not all.","Syria was under control.","And what happened is I had my meeting."
"151","And this trend represents a third threat to our democracy.","The average Air Force aircraft is 27 years-old.","The average Air Force aircraft is 27 years-old.","And the Air Force is the smallest it has been since 1947.","And the Air Force is the smallest it has been since 1947.","We're like the big bully that keeps getting beat up."
"152","But politics is a battle of ideas.","It's failed them on crime.","Crime will go down.","Crime will go down.","The crime will stop.","The crime will stop."
"153","That's how our democracy was designed.","But here, at our convention, there will be no lies.","We have to do that for our country.","Thank you.","Thank you.","These are amazing people."
"154","In the course of a healthy debate, we prioritize different goals, and the different means of reaching them.","These are amazing people.","They live with these people.","Hard to believe.","Most incredibly, because to me this is unbelievable, we have no idea who these people are, where they come from.","Thank you."
"155","But without some common baseline of facts, without a willingness to admit new information and concede that your opponent might be making a fair point, and that science and reason matter, then we're going to keep talking past each other, and we'll make common ground and compromise impossible.","They can guide you any way they want to guide you.","They live with these people.","Thank you.","Does anyone really believe that story?","They can guide you any way they want to guide you."
"156","And isn't that part of what so often makes politics dispiriting?","The politicians have talked about it, I'm going to do it.","Probably less likely that it's a payment.","Let's stop the drugs and the crime from pouring into our country.","Let's stop the drugs and the crime from pouring into our country.","Very complicated stuff."
"157","How can elected officials rage about deficits when we propose to spend money on preschool for kids, but not when we're cutting taxes for corporations?","It's failed them on crime.","Government-wide, improper government payments are estimated to exceed $135 billion per year, and the amount of unpaid taxes is estimated to be as high as $385 billion.","Government-wide, improper government payments are estimated to exceed $135 billion per year, and the amount of unpaid taxes is estimated to be as high as $385 billion.","While Hillary Clinton plans a massive -- and I mean massive -- tax increase, I have proposed the largest tax reduction of any candidate who has declared for the presidential race this year – Democrat or Republican.","We can also reduce the size of the federal bureaucracy through responsible workforce attrition – that is, when employees retire, they can be replaced by a smaller number of new employees."
"158","How do we excuse ethical lapses in our own party, but pounce when the other party does the same thing?","I've gone through them.","I appreciate that from Ford.","Very complicated stuff.","And they're going to be moving into Michigan and expanding very substantially an existing plant.","This is yet one more area where we are headed in a totally opposite direction."
"159","It's not just dishonest, this selective sorting of the facts;","It's very unfair to our country what's happened.","It's very unfair to the country.","It's a disgrace what took place.","So they're very, very dishonest people.","It's very unfair to the country."
"160","it's self-defeating.","But I don't want to do that.","You've been waiting.","You are fake news.","This has been an incredible evening.","Hard to believe."
"161","Because, as my mom used to tell me, reality has a way of catching up with you.","Together, we will make America strong again.","And, yes, together, we will make America great again.","Remember: it has failed America's inner cities.","Go ahead.","This is your day."
"162","Take the challenge of climate change.","No challenge can match the heart and fight and spirit of America.","I've been hearing it.","I've been hearing it.","Meanwhile, China has grown more aggressive, and North Korea more dangerous and belligerent.","I've been hearing it."
"163","In just 8 years, we've halved our dependence on foreign oil, we've doubled our renewable energy, we've led the world to an agreement that has the promise to save this planet.","America is far less safe – and the world is far less stable – than when Obama made the decision to put Hillary Clinton in charge of America's foreign policy.","We'll build safe zones which is something that I think all of us want to see.","Russia will have much greater respect for our country when I'm leading it than when other people have led it.","In Libya, our consulate – the symbol of American prestige around the globe – was brought down in flames.","It's our right, as a sovereign nation to chose immigrants that we think are the likeliest to thrive and flourish and love us."
"164","But without bolder action, our children won't have time to debate the existence of climate change.","I could actually run my business and run government at the same time.","I could actually run my business and run government at the same time.","I have no deals that could happen in Russia, because we've stayed away.","I think a lot of industries are going to be coming back.","We are going to start building and making things again."
"165","They'll be busy dealing with its effects: more environmental disasters, more economic disruptions, waves of climate refugees seeking sanctuary.","Russia will have much greater respect for our country when I'm leading it than when other people have led it.","In America, we understand that a nation is only living as long as it is striving.","Russia will have much greater respect for our country when I'm leading it than when other people have led it.","We will seek friendship and good will with the nations of the world, but we do so with the understanding that it is the right of all nations to put their own interests first.","We do not seek to impose our way of life on anyone, but rather to let it shine as an example—we will shine—for everyone to follow."
"166","Now, we can and should argue about the best approach to solve the problem.","Iraq was seeing a big, big reduction in violence.","Right now, however, we're in the middle of a jobs crisis, a border crisis and a terrorism crisis like never before.","Americans watching this address tonight have seen the recent images of violence in our streets and the chaos in our communities.","The forgotten men and women of our country will be forgotten no longer.","Right now, however, we're in the middle of a jobs crisis, a border crisis and a terrorism crisis like never before."
"167","But to simply deny the problem not only betrays future generations, it betrays the essential spirit of this country, the essential spirit of innovation and practical problem-solving that guided our Founders.","America first!","We will not fail.","Hopefully, none.","History is watching us now.","Remember that."
"168","It is that spirit, born of the Enlightenment, that made us an economic powerhouse: the spirit that took flight at Kitty Hawk and Cape Canaveral, the spirit that cures disease and put a computer in every pocket.","We will not fail.","History is watching us now.","Hopefully, none.","We will be fair, just, and compassionate to all, but our greatest compassion must be for our American citizens.","America first!"
"169","It's that spirit, a faith in reason and enterprise and the primacy of right over might, that allowed us to resist the lure of fascism and tyranny during the Great Depression;","And we're admitting them to our country.","Hopefully, none.","I call it extreme vetting right?","It's always 11 million.","Remember that."
"170","that allowed us to build a post-World War II order with other democracies, an order based not just on military power or national affiliations, but built on principles: the rule of law, human rights, freedom of religion and speech and assembly, and an independent press.","In 2009, our Marine Corps had 202,000 active Marines.","Our Convention occurs at a moment of crisis for our nation.","I have a message to every last person threatening the peace on our streets and the safety of our police: when I take the oath of office next year, I will restore law and order to our country.","To choose immigrants based on merit.","In 2009, our Marine Corps had 202,000 active Marines."
"171","That order is now being challenged, first by violent fanatics who claim to speak for Islam, more recently by autocrats in foreign capitals who see free markets and open democracies and civil society itself as a threat to their power.","Today, it’s just 182,000.","Syria was under control.","What have the decisions of Obama-Clinton produced?","In 2009, pre-Hillary, ISIS was not even on the map.","Syria was under control."
"172","The peril each poses to our democracy is more far-reaching than a car bomb or a missile.","Syria is in the midst of a disastrous civil war.","Syria is in the midst of a disastrous civil war.","Hillary Clinton’s legacy in Iraq, Libya, and Syria has produced only turmoil and suffering.","Iraq was experiencing a reduction in violence.","Iraq is in chaos."
"173","They represent the fear of change;","Meanwhile, China has grown more aggressive, and North Korea more dangerous and belligerent.","Meanwhile, China has grown more aggressive, and North Korea more dangerous and belligerent.","No challenge can match the heart and fight and spirit of America.","The attacks on our police, and the terrorism in our cities, threaten our very way of life.","The average Air Force aircraft is 27 years-old."
"174","the fear of people who look or speak or pray differently;","Watch how good we're going to do together.","Watch how good we're going to do together.","But there's a good chance I won't.","Watch.","Watch."
"175","a contempt for the rule of law that holds leaders accountable;","How great are our police?","But the police and law enforcement, they know who these people are.","In joint operation with local, state, and federal law enforcement.","But the police and law enforcement, they know who these people are.","In joint operation with local, state, and federal law enforcement."
"176","an intolerance of dissent and free thought;","My opponent wants to essentially abolish the 2nd amendment.","Supreme Court judge.","Zero tolerance for criminal aliens.","Supreme Court judge.","Zero tolerance for criminal aliens."
"177","a belief that the sword or the gun or the bomb or the propaganda machine is the ultimate arbiter of what's true and what's right.","President Obama plans to reduce the Army to 450,000 troops—which would hamstring our ability to defend the United States.","President Obama plans to reduce the Army to 450,000 troops—which would hamstring our ability to defend the United States.","Libya is in ruins, and our Ambassador and his staff were left helpless to die at the hands of savage killers.","We will start by modernizing our cruisers to provide the Ballistic Missile Defense capability our nation needs;","Under Barack Obama and Hillary Clinton, defense spending is on track to fall to its lowest level as a share of the economy since the end of World War II."
"178","Because of the extraordinary courage of our men and women in uniform, because of our intelligence officers and law enforcement and diplomats who support our troops, no foreign terrorist organization has successfully planned and executed an attack on our homeland these past 8 years.","And we will build an Air Force of at least 1,200 fighter aircraft, which the Heritage Foundation has shown to be needed to execute current missions – we have 1,113 now.","And we will build an Air Force of at least 1,200 fighter aircraft, which the Heritage Foundation has shown to be needed to execute current missions – we have 1,113 now.","Egypt was turned over to the radical Muslim brotherhood, forcing the military to retake control.","We will build a Navy of 350 surface ships and submarines, as recommended by the bipartisan National Defense Panel – we have 276 ships now.","We will build a Navy of 350 surface ships and submarines, as recommended by the bipartisan National Defense Panel – we have 276 ships now."
"179","And although Boston and Orlando and San Bernardino and Fort Hood remind us of how dangerous radicalization can be, our law enforcement agencies are more effective and vigilant than ever.","Egypt was turned over to the radical Muslim brotherhood, forcing the military to retake control.","President Obama plans to reduce the Army to 450,000 troops—which would hamstring our ability to defend the United States.","We must abandon the failed policy of nation building and regime change that Hillary Clinton pushed in Iraq, Libya, Egypt and Syria.","President Obama plans to reduce the Army to 450,000 troops—which would hamstring our ability to defend the United States.","Libya is in ruins, our ambassador and three other brave Americans are dead, and ISIS has gained a new base of operations."
"180","We have taken out tens of thousands of terrorists, including bin Laden.","ISIS has spread across the Middle East, and into the West.","Accomplishing this military rebuild will be a fifty-state effort —every state in the union will be able to take part in rebuilding our military and developing the technologies oftomorrow.","Accomplishing this military rebuild will be a fifty-state effort —every state in the union will be able to take part in rebuilding our military and developing the technologies oftomorrow.","And many, many other locations.","To make life safe in America, we must also address the growing threats we face from outside the country: We are going to defeat the barbarians of ISIS, and we are going to defeat them fast."
"181","The global coalition we're leading against ISIL has taken out their leaders and taken away about half their territory.","This includes working with our greatest ally in the region, the State of Israel.","And many, many other locations.","To make life safe in America, we must also address the growing threats we face from outside the country: We are going to defeat the barbarians of ISIS, and we are going to defeat them fast.","We will use the best technology, including above and below ground sensors that's the tunnels.","Yet despite the existence of a law that commands the Secretary of State to stop issuing visas to these countries."
"182","ISIL will be destroyed, and no one who threatens America will ever be safe.","President Obama plans to reduce the Army to 450,000 troops—which would hamstring our ability to defend the United States.","President Obama plans to reduce the Army to 450,000 troops—which would hamstring our ability to defend the United States.","Libya is in ruins, and our Ambassador and his staff were left helpless to die at the hands of savage killers.","We will reinforce old alliances and form new ones and unite the civilized world against radical Islamic terrorism, which we will eradicate completely from the face of the Earth.","Instead of an apology tour, I will proudly promote our system of government and our way of life as the best in the world – just like we did in our campaign against communism during the Cold War."
"183","And to all who serve or have served, it has been the honor of my lifetime to be your Commander in Chief.","We will use the best technology, including above and below ground sensors that's the tunnels.","In my administration we will ensure that this system is in place.","It does not serve you the American people.","But we will also be a country of law and order.","You will be able to choose your own doctor again."
"184","And we all owe you a deep debt of gratitude.","When politicians talk about immigration reform, they usually mean the following, amnesty, open borders, lower wages.","Clinton has also pledged to add a third executive amnesty.","We're going to have a very, very elegant day.","We're going to have a very, very elegant day.","That's tough stuff, I will tell you."
"185","But protecting our way of life, that's not just the job of our military.","But the police and law enforcement, they know who these people are.","We must speak our minds openly, debate our disagreements honestly, but always pursue solidarity.","Let me tell you who it does not serve.","Let me tell you who it does not serve.","But to fix our immigration system, we must change our leadership in Washington and we must change it quickly."
"186","Democracy can buckle when it gives in to fear.","We're like the big bully that keeps getting beat up.","We're like the big bully that keeps getting beat up.","The average Air Force aircraft is 27 years-old.","The big bully that keeps getting beat up.","The big bully that keeps getting beat up."
"187","So, just as we, as citizens, must remain vigilant against external aggression, we must guard against a weakening of the values that make us who we are.","On Sunday, more police were gunned down in Baton Rouge, Louisiana.","We must abandon the failed policy of nation building and regime change that Hillary Clinton pushed in Iraq, Libya, Egypt and Syria.","Instead of an apology tour, I will proudly promote our system of government and our way of life as the best in the world – just like we did in our campaign against communism during the Cold War.","Instead of an apology tour, I will proudly promote our system of government and our way of life as the best in the world – just like we did in our campaign against communism during the Cold War.","Egypt was turned over to the radical Muslim brotherhood, forcing the military to retake control."
"188","And that's why, for the past 8 years, I've worked to put the fight against terrorism on a firmer legal footing.","An attack on law enforcement is an attack on all Americans.","The attacks on our police, and the terrorism in our cities, threaten our very way of life.","President Obama plans to reduce the Army to 450,000 troops—which would hamstring our ability to defend the United States.","This will require military warfare, but also cyber warfare, financial warfare, and ideological warfare – as I laid out in my speech on defeating Radical Islamic terrorism several weeks ago.","We must abandon the failed policy of nation building and regime change that Hillary Clinton pushed in Iraq, Libya, Egypt and Syria."
"189","That's why we've ended torture, worked to close Gitmo, reformed our laws governing surveillance to protect privacy and civil liberties.","Instead, the media and my opponent discuss one thing and only one thing, the needs of people living here illegally.","Russia can help us fight ISIS, which by the way is, number one, tricky.","I think the people of this country did not want to see what was happening with the Supreme Court.","Instead, the media and my opponent discuss one thing and only one thing, the needs of people living here illegally.","These email records were destroyed after she received a subpoena to turn them over."
"190","That's why I reject discrimination against Muslim Americans, who are just as patriotic as we are.","Iraq was seeing a big, big reduction in violence.","I've seen people absolutely destroyed and I think it's very unfair.","You can call it whatever the hell you want.","You can call it whatever the hell you want.","Our drug industry has been disastrous."
"191","That's why we cannot withdraw from big global fights: to expand democracy and human rights and women's rights and LGBT rights.","They live with these people.","Right?","They're justified.","They're justified.","Believe me."
"192","No matter how imperfect our efforts, no matter how expedient ignoring such values may seem, that's part of defending America.","We can accomplish these great things, and so much else – all we need to do is start believing in ourselves and in our country again.","They live with these people.","They can guide you any way they want to guide you.","Does anyone really believe that story?","Believe me."
"193","For the fight against extremism and intolerance and sectarianism and chauvinism are of a piece with the fight against authoritarianism and nationalist aggression.","The average Air Force aircraft is 27 years-old.","The average Air Force aircraft is 27 years-old.","And the Air Force is the smallest it has been since 1947.","Meanwhile, China has grown more aggressive, and North Korea more dangerous and belligerent.","Meanwhile, China has grown more aggressive, and North Korea more dangerous and belligerent."
"194","If the scope of freedom and respect for the rule of law shrinks around the world, the likelihood of war within and between nations increases, and our own freedoms will eventually be threatened.","We will build a Marine Corps based on 36 battalions, which the Heritage Foundation notes is the minimum needed to deal with major contingencies – we have 23 now.","We must abandon the failed policy of nation building and regime change that Hillary Clinton pushed in Iraq, Libya, Egypt and Syria.","We will build a Marine Corps based on 36 battalions, which the Heritage Foundation notes is the minimum needed to deal with major contingencies – we have 23 now.","Egypt was turned over to the radical Muslim brotherhood, forcing the military to retake control.","Libya is in ruins, our ambassador and three other brave Americans are dead, and ISIS has gained a new base of operations."
"195","So let's be vigilant, but not afraid.","We want to deter, avoid and prevent conflict through our unquestioned military strength.","We want to deter, avoid and prevent conflict through our unquestioned military strength.","Gangs will disappear.","Gangs will disappear.","How great are our police?"
"196","ISIL will try to kill innocent people.","A nation in mourning.","They have been forgotten.","They have been forgotten.","But I have a no conflict of interest provision as president.","How great are our police?"
"197","But they cannot defeat America unless we betray our Constitution and our principles in the fight.","Hillary Clinton, for instance, talks constantly about her fears that families will be separated, but she's not talking about the American families who have been permanently separated from their loved ones because of a preventable homicide, because of a preventable death, because of murder.","And by the way, folks, she will be a disaster for our country, a disaster in so many other ways.","And by the way, folks, she will be a disaster for our country, a disaster in so many other ways.","Hillary Clinton, for instance, talks constantly about her fears that families will be separated, but she's not talking about the American families who have been permanently separated from their loved ones because of a preventable homicide, because of a preventable death, because of murder.","As your President, I will do everything in my power to protect our LGBTQ citizens from the violence and oppression of a hateful foreign ideology – beleive me."
"198","Rivals like Russia or China cannot match our influence around the world, unless we give up what we stand for and turn ourselves into just another big country that bullies smaller neighbors.","OK.","We will build a great wall along the southern border.","Believe me.","Zero.","Zero."
"199","Which brings me to my final point: Our democracy is threatened whenever we take it for granted.","The TPP will not only destroy our manufacturing, but it will make America subject to the rulings of foreign governments.","And don't forget the repeal and replacement of Obamacare.","And, they would comply if we would act properly.","You will see that.","They're going out."
"200","All of us, regardless of party, should be throwing ourselves into the task of rebuilding our democratic institutions.","Thank you.","Thank you.","They left.","They left.","We're going to win fast."
"201","When voting rates in America are some of the lowest among advanced democracies, we should be making it easier, not harder, to vote.","First of all, you learn very little from a tax return.","First of all, you learn very little from a tax return.","So I could actually run my business.","So I could actually run my business.","There are no demonstrators to protest on their behalf."
"202","When trust in our institutions is low, we should reduce the corrosive influence of money in our politics and insist on the principles of transparency and ethics in public service.","And we're going to start bidding and we're going to save billions of dollars over a period of time, and we're going to do that with a lot of other industries.","And we're going to start bidding and we're going to save billions of dollars over a period of time, and we're going to do that with a lot of other industries.","There's no common sense, there's no brain power in our administration by our leader, or our leaders.","You've been reading about it.","This is yet one more area where we are headed in a totally opposite direction."
"203","When Congress is dysfunctional, we should draw our congressional districts to encourage politicians to cater to common sense and not rigid extremes.","There's no common sense, there's no brain power in our administration by our leader, or our leaders.","In some cases they guide you incorrectly.","The establishment protected itself, but not the citizens of our country.","It's our right, as a sovereign nation to chose immigrants that we think are the likeliest to thrive and flourish and love us.","In some cases they guide you incorrectly."
"204","But remember, none of this happens on its own.","Their victories have not been your victories;","OK?","OK?","Then there is the issue of security.","In most cases you realize what's happened."
"205","All of this depends on our participation;","They are phenomenal people.","These are amazing people.","We take anybody.","Maybe my office.","She is going to do nothing."
"206","on each of us accepting the responsibility of citizenship, regardless of which way the pendulum of power happens to be swinging.","Go ahead.","I heard he's a nice guy actually.","He will do a truly great job.","Yeah, go ahead.","November 8th."
"207","Our Constitution is a remarkable, beautiful gift, but it's really just a piece of parchment.","Today's ceremony, however, has very special meaning.","We don't make good deals anymore.","We don't make good deals anymore.","We don't make good deals anymore.","I'd do a very good job."
"208","It has no power on its own.","He wasn't out of the country.","I could name them, but I won't bother.","I write those checks.","Hillary Clinton, all talk.","It's very interesting how it's going."
"209","We, the people, give it power.","Families ripped apart.","But I don't want to do that.","OK.","The same people.","I'm surrounded by bodyguards."
"210","We, the people, give it meaning with our participation and with the choices that we make and the alliances that we forge.","Thank you.","They live with these people.","No, not you.","Right?","Hard to believe."
"211","Whether or not we stand up for our freedoms, whether or not we respect and enforce the rule of law, that's up to us.","I have a message to every last person threatening the peace on our streets and the safety of our police: when I take the oath of office next year, I will restore law and order to our country.","They can guide you any way they want to guide you.","But if we're going to make our immigration system work, then we have to be prepared to talk honestly and without fear about these important and very sensitive issues.","But the police and law enforcement, they know who these people are.","We will be protected by the great men and women of our military and law enforcement, and most importantly, we will be protected by God."
"212","America is no fragile thing, but the gains of our long journey to freedom are not assured.","I respect the government of Mexico.","I respect the government of Mexico.","We will work across all racial and income lines to create One American Nation.","God bless you, and God bless America.","We will work across all racial and income lines to create One American Nation."
"213","In his own Farewell Address, George Washington wrote that self-government is the underpinning of our safety, prosperity, and liberty, but from different causes and from different quarters much pains will be taken |","Go there.","I thank a lot of different people for saying that.","Go ahead.","So if you want to hear the corporate spin, the carefully-crafted lies, and the media myths the Democrats are holding their convention next week.","We, the citizens of America, are now joined in a great national effort to rebuild our country and restore its promise for all of our people."
"214","to weaken in your minds the conviction of this truth.","The establishment protected itself, but not the citizens of our country.","There's no common sense, there's no brain power in our administration by our leader, or our leaders.","Goodbye, everybody.","There's no common sense, there's no brain power in our administration by our leader, or our leaders.","It's our right, as a sovereign nation to chose immigrants that we think are the likeliest to thrive and flourish and love us."
"215","And so we have to preserve this truth with jealous anxiety;","My plan also includes cooperating closely with local jurisdictions to remove criminal aliens immediately.","I have visited the laid-off factory workers, and the communities crushed by our horrible and unfair trade deals.","There are often terrible consequences, such as Casey Chadwick's tragic death in Connecticut just last year.","What the hell are we doing?","Lives ruined."
"216","that we should reject the first dawning of every attempt to alienate any portion of our country from the rest or to enfeeble the sacred ties that make us one.","Goodbye, everybody.","None, none, none.","None, none, none.","Remember that.","It exists to protect all aspects of American life."
"217","America, we weaken those ties when we allow our political dialogue to become so corrosive that people of good character aren't even willing to enter into public service;","Goodbye, everybody.","It exists to protect all aspects of American life.","What truly matters is not which party controls our Government, but whether our Government is controlled by the people.","Remember that.","society and their ability to be financially self- sufficient."
"218","so coarse with rancor that Americans with whom we disagree are seen not just as misguided, but as malevolent.","I don't blame them for what's happened.","To protect us from terrorism, we need to focus on three things.","You can call it whatever the hell you want.","I don't blame them for what's happened.","So they're very, very dishonest people."
"219","We weaken those ties when we define some of us as more American than others, when we write off the whole system as inevitably corrupt, and when we sit back and blame the leaders we elect without examining our own role in electing them.","There's no common sense, there's no brain power in our administration by our leader, or our leaders.","We will no longer accept politicians who are all talk and no action, constantly complaining, but never doing anything about it.","I think they're doing very well.","He will do a truly great job.","We are going to put in Mr."
"220","It falls to each of us to be those anxious, jealous guardians of our democracy;","My opponent has called for a radical 550% increase in Syrian -- Think of this.","And we're going to put those minds together and were going to form a defense.","We are going to put in Mr.","That information that was false and fake and never happened got released to the public, as far as BuzzFeed, which is a failing pile of garbage, writing it, I think they're going to suffer the consequences.","According to a report for the Boston Globe from the year 2008 to 2014 nearly 13,000 criminal aliens were released back into U."
"221","to embrace the joyous task we've been given to continually try to improve this great Nation of ours.","You'll be proud of our country again.","I respect the people of Mexico.","Russia will respect our country more.","I will present the facts plainly and honestly.","I respect the people of Mexico."
"222","Because for all our outward differences, we, in fact, all share the same proud title, the most important office in a democracy: citizen.","I'm very proud of the Cabinet.","I'm very proud of the Cabinet.","I pledge to never sign any trade agreement that hurts our workers, or that diminishes our freedom and independence.","And, when we do, peace and law and justice and prosperity will prevail.","President Obama and Hillary Clinton support sanctuary cities."
"223","Citizen.","We are going to put in Mr.","Thank you.","Join me in this mission, we're going to make America great again.","Thank you.","Thank you."
"224","So, you see, that's what our democracy demands.","OK.",", think of it, into the U.",", think of it, into the U.","Politicians prospered, but the jobs left, and the factories closed.","society and their ability to be financially self- sufficient."
"225","It needs you.","Does anyone really believe that story?","They can't do anything about these people, and they want to.","These are amazing people.","You have a few sitting right in front of us.","They get mocked by these people."
"226","Not just when there's an election, not just when your own narrow interest is at stake, but over the full span of a lifetime.","Hard to believe.","She's going to do nothing.","She's going to do nothing.","So, David is going to do a fantastic job.","So, David is going to do a fantastic job."
"227","If you're tired of arguing with strangers on the Internet, try talking with one of them in real life.","So, I have no deals, I have no loans and I have no dealings.","The void was created, ISIS was formed.","We have the most incompetently worked trade deals ever negotiated probably in the history of the world, and that starts with NAFTA.","Pharma has a lot of lobbies and a lot of lobbyists and a lot of power, and there's very little bidding on drugs.","But the facts aren't known because the media won't report on them."
"228","If something needs fixing, then lace up your shoes and do some organizing.","Cases where they go in and they have a minor, early-stage form of cancer and they can't see a doctor.","I just don't want to because I think that would be a conflict.","I just don't want to because I think that would be a conflict.","Cases where they go in and they have a minor, early-stage form of cancer and they can't see a doctor.","So remember this, OK, I would say we are going to build a wall and people would go crazy."
